MONTH,DAY,RADIATION
01,01,9.14
01,02,9.13
01,03,9.07
01,04,9.01
01,05,7.94
01,06,5.39
01,07,5.60
01,08,7.74
01,09,8.91
01,10,2.36
01,11,8.77
01,12,8.49
01,13,7.62
01,14,7.86
01,15,7.55
01,16,8.61
01,17,4.64
01,18,8.55
01,19,4.36
01,20,8.06
01,21,8.39
01,22,7.17
01,23,8.26
01,24,8.10
01,25,7.08
01,26,3.42
01,27,7.46
01,28,6.44
01,29,7.56
01,30,8.46
01,31,8.40
02,01,8.06
02,02,2.22
02,03,3.49
02,04,5.56
02,05,7.37
02,06,6.35
02,07,7.92
02,08,5.69
02,09,0.85
02,10,8.03
02,11,8.19
02,12,8.07
02,13,8.02
02,14,7.84
02,15,3.08
02,16,7.07
02,17,4.64
02,18,4.90
02,19,7.81
02,20,3.74
02,21,6.82
02,22,7.37
02,23,7.57
02,24,7.06
02,25,1.91
02,26,2.33
02,27,2.13
02,28,1.41
03,01,6.12
03,02,7.26
03,03,6.21
03,04,6.84
03,05,6.87
03,06,6.85
03,07,6.78
03,08,6.57
03,09,4.83
03,10,6.69
03,11,6.77
03,12,6.74
03,13,4.97
03,14,3.04
03,15,5.19
03,16,6.14
03,17,3.17
03,18,6.18
03,19,6.09
03,20,6.17
03,21,5.55
03,22,4.99
03,23,5.10
03,24,1.06
03,25,1.50
03,26,3.41
03,27,5.29
03,28,5.92
03,29,5.88
03,30,3.75
03,31,5.82
04,01,5.76
04,02,5.70
04,03,5.11
04,04,1.61
04,05,4.88
04,06,5.34
04,07,1.55
04,08,5.19
04,09,4.45
04,10,4.62
04,11,3.53
04,12,4.82
04,13,3.93
04,14,2.59
04,15,4.60
04,16,2.48
04,17,5.06
04,18,4.92
04,19,4.03
04,20,2.99
04,21,3.42
04,22,4.03
04,23,4.66
04,24,4.35
04,25,4.54
04,26,4.32
04,27,3.34
04,28,3.06
04,29,2.26
04,30,1.13
05,01,2.13
05,02,4.29
05,03,4.30
05,04,4.29
05,05,3.69
05,06,3.48
05,07,1.78
05,08,3.34
05,09,2.67
05,10,3.85
05,11,3.26
05,12,3.27
05,13,3.30
05,14,3.70
05,15,2.98
05,16,3.68
05,17,3.27
05,18,2.76
05,19,3.11
05,20,3.49
05,21,2.33
05,22,1.22
05,23,1.70
05,24,2.95
05,25,1.76
05,26,1.38
05,27,1.37
05,28,3.13
05,29,1.15
05,30,2.88
05,31,3.00
06,01,2.63
06,02,2.91
06,03,3.25
06,04,2.98
06,05,2.74
06,06,2.59
06,07,2.36
06,08,2.76
06,09,2.40
06,10,0.97
06,11,3.31
06,12,3.19
06,13,3.07
06,14,3.23
06,15,3.24
06,16,3.30
06,17,3.14
06,18,3.20
06,19,3.11
06,20,3.06
06,21,3.09
06,22,3.11
06,23,2.70
06,24,2.61
06,25,0.69
06,26,1.84
06,27,2.04
06,28,1.32
06,29,3.04
06,30,2.63
07,01,2.01
07,02,1.68
07,03,3.28
07,04,3.16
07,05,1.78
